,Domain,Annotator,TP,FP,fabrication_rate,fabrication_rate_ci_low,fabrication_rate_ci_high,p_one_sided_ai_ge_human
0,Radiology,Human,1613,5,0.0030902348578491965,0.0006214751236453756,0.006127544902081003,0.8810237952409518
1,Radiology,AI,1716,10,0.005793742757821553,0.0028537999250246014,0.0096868859732522,0.8810237952409518
2,Pathology,Human,603,2,0.003305785123966942,0.0,0.008403361344537815,0.9018196360727855
3,Pathology,AI,689,6,0.008633093525179856,0.002844950213371266,0.015988372093023256,0.9018196360727855
