metric,n_fabricated,n_not_fab,mean_fab,mean_nofab,median_fab,median_nofab,mw_u,mw_p,sig,rho,rho_p
mean_brightness,14,143,239.936,242.6394,242.2038,243.6039,777.5,0.1692,,-0.1287,0.1083
rms_contrast,14,143,46.7368,44.7403,44.6361,43.4835,1129.5,0.43,,0.0648,0.4198
intensity_spread_p95_p5,14,143,113.2935,102.3583,113.6667,105.3846,1117.5,0.4745,,0.0626,0.4361
tenengrad,14,143,9.9797,8.7118,8.6868,8.0827,1111.5,0.4977,,0.1027,0.2007
laplacian_var,14,143,300.6192,269.4085,246.41,235.0164,1058.5,0.7253,,0.0688,0.3916
skew_angle_deg,14,143,-0.8316,-0.7759,-0.7778,-0.6667,983.5,0.9165,,-0.0185,0.8183
