Domain,Annotator,TP,FP,FN,TN,sensitivity,specificity,ppv,npv,accuracy,precision,recall,f1,fabrication_rate,prevalence,balanced_accuracy
Radiology,Human,1613,5,151,104,0.9143990929705216,0.9541284403669725,0.9969097651421508,0.40784313725490196,0.9167111585691404,0.9969097651421508,0.9143990929705216,0.9538734476641041,0.0030902348578491965,0.9418045915643353,0.934263766668747
Radiology,AI,1716,10,43,104,0.9755542922114838,0.9122807017543859,0.9942062572421785,0.7074829931972789,0.9717031500266952,0.9942062572421785,0.9755542922114838,0.9847919655667146,0.005793742757821553,0.9391350774159103,0.9439174969829349
Pathology,Human,603,2,125,20,0.8282967032967034,0.9090909090909091,0.996694214876033,0.13793103448275862,0.8306666666666667,0.996694214876033,0.8282967032967034,0.9047261815453864,0.003305785123966942,0.9706666666666667,0.8686938061938062
Pathology,AI,689,6,35,20,0.9516574585635359,0.7692307692307693,0.9913669064748202,0.36363636363636365,0.9453333333333334,0.9913669064748202,0.9516574585635359,0.9711064129668782,0.008633093525179856,0.9653333333333334,0.8604441138971526
