,Domain,Annotator,accuracy,accuracy_ci_low,accuracy_ci_high,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,ppv,ppv_ci_low,ppv_ci_high,fabrication_rate,fabrication_rate_ci_low,fabrication_rate_ci_high,npv,npv_ci_low,npv_ci_high,precision,recall,f1,f1_ci_low,f1_ci_high
0,Radiology,Human,0.9132848145462978,0.8703439173342625,0.9508326131764829,0.9045194286722084,0.8546547068119869,0.948896256156697,0.7191358024691358,0.44135802469135804,0.9845679012345678,0.9969124757827525,0.9938366198831644,0.9995112414467253,0.0030875242172473906,0.0004887585532746823,0.005946414327868627,0.26233270526080105,0.09510452492171861,0.43729954086567774,0.9969124757827525,0.9045194286722084,0.9464486582810406,0.9165016255702977,0.9710214913107332
1,Radiology,AI,0.9709705233630687,0.9584492573098894,0.9819661367030464,0.9731290631977316,0.9612927599270822,0.9836652046115509,0.5895061728395061,0.33024691358024694,0.845679012345679,0.9943790578194925,0.9901308890019307,0.9979518639411687,0.005620942180507372,0.002125780417237704,0.009804858796824533,0.39974638070949825,0.17589484020152682,0.6347340187234519,0.9943790578194925,0.9731290631977316,0.9835482389193888,0.9761891125645332,0.989856804187234
2,Pathology,Human,0.8125659666534052,0.5241782965958002,0.9712834224598931,0.7957761504262397,0.4678752233472304,0.9736956521739131,0.5555555555555555,0.0,1.0,0.9972592659338019,0.9945185318676038,1.0,0.0027407340661981137,0.0,0.005481468132396227,0.1,0.0,0.2,0.9972592659338019,0.7957761504262397,0.8493287011865063,0.5925474844135131,0.9853076216712581
3,Pathology,AI,0.9440148481090728,0.8894719251336898,0.9849874371859296,0.9500352113481798,0.901639344262295,0.9899497487437185,0.35,0.0,0.7,0.9907654960246131,0.9865945752714598,0.9949364167777663,0.009234503975386884,0.005063583222233617,0.01340542472854015,0.2656410256410256,0.0,0.7200000000000001,0.9907654960246131,0.9500352113481798,0.9693598412435153,0.9401493965263467,0.9924114402321207
