,Level,Annotator,TP,FP,fabrication_rate,fabrication_rate_ci_low,fabrication_rate_ci_high,p_one_sided_ai_ge_human
0,Overall,Human,2031,6,0.0029455081001472753,0.000973224175636911,0.005413585927282746,0.9672065586882623
1,Overall,AI,2207,15,0.0067506750675067504,0.0036100675938636304,0.01037052319352495,0.9672065586882623
